created_at,id
2020-01-31,2698
2020-02-29,4432
2020-03-31,53405
2020-04-30,36662
2020-05-31,20468
2020-06-30,12975
2020-07-31,24184
2020-08-31,20455
2020-09-30,15346
2020-10-31,15115
2020-11-30,12667
2020-12-31,14108
2021-01-31,13874
2021-02-28,12056
2021-03-31,7714
2021-04-30,9638
2021-05-31,13285
2021-06-30,19185
2021-07-31,31471
2021-08-31,32525
2021-09-30,19346
2021-10-31,13667
2021-11-30,7820
2021-12-31,12459
2022-01-31,13017
2022-02-28,5396
2022-03-31,5763
2022-04-30,5374
2022-05-31,5489
2022-06-30,4721
2022-07-31,7081
2022-08-31,4524
2022-09-30,3730
2022-10-31,1294
