created_at,id
2019-11-30,3132
2019-12-31,7583
2020-01-31,199543
2020-02-29,250192
2020-03-31,165067
2020-04-30,89443
2020-05-31,80586
2020-06-30,54828
2020-07-31,38150
2020-08-31,25910
2020-09-30,21964
2020-10-31,21060
2020-11-30,22437
2020-12-31,13764
2021-01-31,24321
2021-02-28,112322
2021-03-31,136251
2021-04-30,53752
2021-05-31,28882
2021-06-30,18983
2021-07-31,14562
2021-08-31,11383
2021-09-30,10408
2021-10-31,14936
2021-11-30,23884
2021-12-31,8314
2022-01-31,7769
2022-02-28,7020
2022-03-31,5791
2022-04-30,6125
2022-05-31,5722
2022-06-30,4766
2022-07-31,4940
2022-08-31,1076
