created_at,id
2020-02-29,9449
2020-03-31,17956
2020-04-30,344755
2020-05-31,333307
2020-06-30,267993
2020-07-31,144956
2020-08-31,126943
2020-09-30,90820
2020-10-31,111114
2020-11-30,128905
2020-12-31,130131
2021-01-31,116875
2021-02-28,165003
2021-03-31,94897
2021-04-30,83981
2021-05-31,57509
2021-06-30,56076
2021-07-31,57327
2021-08-31,73752
2021-09-30,42340
2021-10-31,40259
2021-11-30,39943
2021-12-31,42628
2022-01-31,69338
2022-02-28,36810
2022-03-31,20953
2022-04-30,21630
2022-05-31,21556
2022-06-30,18326
2022-07-31,19055
2022-08-31,21607
2022-09-30,14960
2022-10-31,13850
2022-11-30,5419
